문제ID,실전,난이도,내용,OCR답
PRACTICAL_T_006,실전,TOUGH,"$x$에 대한 연립부등식 $2x - 3 < \frac{x+a}{2}$와 $3x + 1 \ge 2(x - 1)$을 만족시키는 정수 $x$의 개수가 정확히 $4$개일 때, 조건을 만족시키는 가장 큰 정수 $a$에 대하여 $|a|$의 값을 구하시오.",3
PRACTICAL_T_007,실전,TOUGH,"직각삼각형 $ABC$에서 $\angle C = 90^\circ$이고 변 $AC$, $BC$의 중점을 각각 $D, E$라 하자. 선분 $AE^2 + BD^2 = 125$일 때, 선분 $DE$의 길이를 구하시오.",5
PRACTICAL_T_008,실전,TOUGH,"이차방정식 $x^2 - 5x + 3 = 0$의 두 근을 $\alpha, \beta$라 할 때, $\frac{\alpha^2}{\alpha - 1} + \frac{\beta^2}{\beta - 1}$의 값을 구하시오.",4
PRACTICAL_T_009,실전,TOUGH,"모든 내각의 크기의 합이 $1800^\circ$인 정다각형의 한 꼭짓점에서 그을 수 있는 대각선의 개수를 구하시오.",9
PRACTICAL_T_010,실전,TOUGH,"두 자리 자연수 $x$에 대하여 분수 $\frac{x}{130}$를 소수로 나타내면 유한소수가 되고, 기약분수로 나타내면 $\frac{3}{y}$이 된다. 이때 $x+y$의 값의 십의 자리 숫자를 구하시오.",4
PRACTICAL_T_011,실전,TOUGH,"이차함수 $y = -x^2 + 8x - 12$의 그래프의 꼭짓점을 $V$, $x$축과의 두 교점을 각각 $A, B$라 할 때, 삼각형 $VAB$의 넓이를 구하시오.",8
PRACTICAL_T_012,실전,TOUGH,"두 실수 $a, b$에 대하여 연산 $\star$를 $a \star b = a^2 - ab + b^2$으로 정의할 때, 방정식 $(x \star 2) = 7$을 만족시키는 모든 $x$의 값의 합을 구하시오.",2
PRACTICAL_T_013,실전,TOUGH,"좌표평면의 원점에 점 $P$가 있다. 동전을 한 번 던져 앞면이 나오면 $x$축의 양의 방향으로 $1$만큼, $y$축의 양의 방향으로 $1$만큼 이동하고, 뒷면이 나오면 $x$축의 양의 방향으로 $1$만큼, $y$축의 음의 방향으로 $1$만큼 이동한다. 동전을 $4$번 던진 후 점 $P$가 좌표 $(4, 0)$에 있을 확률이 $\frac{q}{p}$일 때, 서로소인 두 자연수 $p, q$에 대하여 $p-q$의 값을 구하시오.",5
PRACTICAL_T_014,실전,TOUGH,"방정식 $3^{x+2} - 3^x = a \cdot 3^{x-1}$을 만족시키는 상수 $a$의 각 자리 숫자의 합을 구하시오.",6
PRACTICAL_T_015,실전,TOUGH,"길이가 $x\mathrm{m}$인 기차가 초속 $y\mathrm{m}$로 일정한 속력으로 달리고 있다. 이 기차가 길이가 $400\mathrm{m}$인 다리를 완전히 통과하는 데 $30$초가 걸리고, 길이가 $700\mathrm{m}$인 터널을 완전히 통과하는 데 $50$초가 걸린다. 기차의 길이 $x$의 값의 각 자리 숫자의 합을 구하시오.",5
PRACTICAL_T_016,실전,TOUGH,"세 개의 변량 $a, b, c$의 평균이 $5$이고 분산이 $4$일 때, $a^2 + b^2 + c^2$의 값의 일의 자리 숫자를 구하시오.",7
PRACTICAL_T_017,실전,TOUGH,"세 일차방정식 $x + y - 3 = 0$, $x - y + 1 = 0$, $ax + y - 3 = 0$의 그래프가 삼각형을 이루지 않도록 하는 모든 상수 $a$의 값의 제곱의 합을 구하시오.",6
PRACTICAL_T_018,실전,TOUGH,"어떤 자연수 $n$을 $7$로 나누면 나머지가 $4$가 되고, $5$로 나누면 나머지가 $2$가 된다. 이러한 $n$ 중 가장 작은 세 자리 자연수의 십의 자리 숫자를 구하시오.",0
PRACTICAL_T_019,실전,TOUGH,"$x = \frac{\sqrt{7}+\sqrt{3}}{\sqrt{7}-\sqrt{3}}$, $y = \frac{\sqrt{7}-\sqrt{3}}{\sqrt{7}+\sqrt{3}}$일 때, $x+y$의 값을 구하시오.",5
PRACTICAL_T_020,실전,TOUGH,"$0$이 아닌 세 실수 $x, y, z$에 대하여 $(x+y) : (y+z) : (z+x) = 5 : 7 : 8$일 때, $\frac{x+z}{y}$의 값을 구하시오.",4
PRACTICAL_T_021,실전,TOUGH,"이차함수 $y = -2x^2$의 그래프를 $x$축의 방향으로 $m$만큼, $y$축의 방향으로 $n$만큼 평행이동하면 $y = -2x^2 + 8x - 5$의 그래프와 완전히 포개어진다. 이때 $m+n$의 값을 구하시오.",5
PRACTICAL_T_022,실전,TOUGH,"원가에 $30\%$의 이익을 붙여 정가를 정한 상품을 정가에서 $a\%$ 할인하여 팔았더니 원가의 $4\%$ 이익이 생겼다. 이때 $\frac{a}{10}$의 값을 구하시오.",2
PRACTICAL_T_023,실전,TOUGH,"$A, B, C, D, E$ $5$명이 한 줄로 설 때, $A$와 $B$ 사이에 정확히 $1$명이 서게 될 확률은 $\frac{p}{q}$이다. 서로소인 두 자연수 $p, q$에 대하여 $q - 3p$의 값을 구하시오.",1
PRACTICAL_T_024,실전,TOUGH,"자연수 $x, y$가 $x^2 - y^2 = 15$를 만족할 때, 가능한 모든 $x$의 값의 합의 일의 자리 숫자를 구하시오.",2
PRACTICAL_T_025,실전,TOUGH,"길이가 $36$인 철사를 구부려 직사각형을 만들었더니 그 넓이가 $77$이 되었다. 이 직사각형의 가로의 길이와 세로의 길이의 차를 구하시오.",4
PRACTICAL_VT_001,실전,VERY TOUGH,"자연수 $n$에 대하여 $\frac{n}{2}$은 어떤 자연수의 제곱이 되고, $\frac{n}{3}$은 어떤 자연수의 세제곱이 된다. 이를 만족시키는 가장 작은 자연수 $n$의 십의 자리 숫자를 구하시오.",4
PRACTICAL_VT_002,실전,VERY TOUGH,"$x$에 대한 이차방정식 $x^2 - ax + 2a = 0$이 정수인 근을 갖도록 하는 모든 양의 정수 $a$의 값의 합을 구하시오. (단, 정답은 그 합의 일의 자리 숫자로 적으시오.)",7
PRACTICAL_VT_003,실전,VERY TOUGH,"서로 다른 두 개의 주사위를 동시에 던져 나온 눈의 수를 각각 $a, b$라 할 때, $x$에 대한 이차방정식 $x^2 + ax + b = 0$이 중근을 가질 확률은 $\frac{p}{q}$이다. 서로소인 두 자연수 $p, q$에 대하여 $q - 15p$의 값을 구하시오.",3
PRACTICAL_VT_004,실전,VERY TOUGH,"좌표평면 위의 세 점 $A(2, 6)$, $B(-2, 0)$, $C(6, 0)$을 꼭짓점으로 하는 삼각형 $ABC$의 넓이를 일차함수 $y=ax$의 그래프가 이등분할 때, $5a$의 값을 구하시오.",6
PRACTICAL_VT_005,실전,VERY TOUGH,"일정한 속력으로 달리는 어떤 기차가 길이가 $800\mathrm{m}$인 터널을 완전히 통과하는 데 $45$초가 걸린다. 또한 이 기차가 길이가 $400\mathrm{m}$인 다리를 건널 때, 기차 전체가 완전히 다리 위에 머무는 시간은 $15$초라고 한다. 기차의 길이를 $L\mathrm{m}$, 속력을 초속 $v\mathrm{m}$라 할 때, $\frac{L}{v}$의 값을 구하시오.",5
PRACTICAL_VT_006,실전,VERY TOUGH,"$x$에 대한 연립부등식 $\frac{x-1}{2} \le x + a < \frac{2x+5}{3}$를 만족시키는 정수 $x$의 개수가 정확히 $4$개가 되도록 하는 정수 $a$의 값을 구하시오.",2
PRACTICAL_VT_007,실전,VERY TOUGH,"이차함수 $y = \frac{1}{2}x^2 - 3x + \frac{5}{2}$의 그래프를 $x$축에 대하여 대칭이동한 후, $x$축의 방향으로 $m$만큼, $y$축의 방향으로 $n$만큼 평행이동하였더니 $y = -\frac{1}{2}x^2 - 4x - 5$의 그래프와 완전히 포개어졌다. 이때 $|m+n|$의 값을 구하시오.",6
PRACTICAL_VT_008,실전,VERY TOUGH,"세 개의 변량 $a, b, c$의 평균이 $6$이고 분산이 $4$일 때, 다섯 개의 변량 $a, b, c, 4, 8$의 분산을 구하시오.",4
PRACTICAL_VT_009,실전,VERY TOUGH,"세 변의 길이가 각각 $5, 12, 13$인 직각삼각형이 있다. 이 삼각형에 내접하는 원의 반지름의 길이를 $r$, 외접하는 원의 반지름의 길이를 $R$이라 할 때, $2(R - r)$의 값을 구하시오.",9
PRACTICAL_VT_010,실전,VERY TOUGH,"$x = \frac{\sqrt{2}-1}{\sqrt{2}+1}$일 때, $x^2 - 6x + 10$의 값을 구하시오.",9
PRACTICAL_VT_011,실전,VERY TOUGH,"자연수 $A = 2^{10} \times 3^5 \times 5^8$은 $n$자리 자연수이고, 이 수의 각 자리 숫자의 합을 $a$라 할 때, $n+a$의 값의 일의 자리 숫자를 구하시오.",9
PRACTICAL_VT_012,실전,VERY TOUGH,"양수 $x, y$에 대하여 $(x+y) : (x-y) = 3 : 1$이고 $x^2 - y^2 = 27$일 때, $x+y$의 값을 구하시오.",9
